,Quad,Labels,Angle,OTR8,OTR9,OTR40,OTR41,OTR42,OTR43
210,QM1,DX,-5.78e-05,-0.000113752,2.57e-22,0.001404423,-1.63e-16,0.001390107,-1.78e-16
211,QM1,DX,-5.76e-05,-0.000113357,2.57e-22,0.001399555,-1.63e-16,0.001385289,-1.78e-16
212,QM1,DX,-5.74e-05,-0.000112963,2.57e-22,0.001394687,-1.64e-16,0.00138047,-1.79e-16
213,QM1,DX,-5.72e-05,-0.000112569,2.57e-22,0.001389819,-1.64e-16,0.001375652,-1.79e-16
214,QM1,DX,-5.7e-05,-0.000112175,2.57e-22,0.001384951,-1.64e-16,0.001370834,-1.79e-16
215,QM1,DX,-5.68e-05,-0.00011178,2.57e-22,0.001380083,-1.64e-16,0.001366015,-1.79e-16
216,QM1,DX,-5.66e-05,-0.000111386,2.57e-22,0.001375215,-1.64e-16,0.001361197,-1.79e-16
217,QM1,DX,-5.64e-05,-0.000110992,2.57e-22,0.001370346,-1.64e-16,0.001356378,-1.79e-16
218,QM1,DX,-5.62e-05,-0.000110597,2.57e-22,0.001365478,-1.64e-16,0.00135156,-1.79e-16
219,QM1,DX,-5.6e-05,-0.000110203,2.57e-22,0.00136061,-1.64e-16,0.001346741,-1.79e-16
220,QM1,DX,-5.58e-05,-0.000109809,2.57e-22,0.001355742,-1.64e-16,0.001341923,-1.79e-16
221,QM1,DX,-5.56e-05,-0.000109415,2.57e-22,0.001350874,-1.64e-16,0.001337104,-1.79e-16
222,QM1,DX,-5.54e-05,-0.00010902,2.57e-22,0.001346006,-1.64e-16,0.001332286,-1.79e-16
223,QM1,DX,-5.52e-05,-0.000108626,2.57e-22,0.001341138,-1.64e-16,0.001327467,-1.79e-16
224,QM1,DX,-5.5e-05,-0.000108232,2.57e-22,0.00133627,-1.64e-16,0.001322649,-1.79e-16
225,QM1,DX,-5.48e-05,-0.000107837,2.57e-22,0.001331402,-1.64e-16,0.00131783,-1.79e-16
226,QM1,DX,-5.46e-05,-0.000107443,2.57e-22,0.001326534,-1.64e-16,0.001313012,-1.79e-16
227,QM1,DX,-5.44e-05,-0.000107049,2.57e-22,0.001321665,-1.64e-16,0.001308193,-1.79e-16
228,QM1,DX,-5.42e-05,-0.000106655,2.57e-22,0.001316797,-1.64e-16,0.001303375,-1.79e-16
229,QM1,DX,-5.4e-05,-0.00010626,2.57e-22,0.001311929,-1.63e-16,0.001298557,-1.78e-16
230,QM1,DX,-5.38e-05,-0.000105866,2.57e-22,0.001307061,-1.64e-16,0.001293738,-1.78e-16
231,QM1,DX,-5.36e-05,-0.000105472,2.57e-22,0.001302193,-1.63e-16,0.00128892,-1.78e-16
232,QM1,DX,-5.34e-05,-0.000105077,2.57e-22,0.001297325,-1.63e-16,0.001284101,-1.78e-16
